Time,Z
2003-03-03T15:50:55.000,-1
2003-03-03T15:51:00.000,-1.0057683873
2003-03-03T15:51:05.000,-1.0112549406
2003-03-03T15:51:10.000,-1.0167105241
2003-03-03T15:51:15.000,-1.0221349711
2003-03-03T15:51:20.000,-1.0275281166
2003-03-03T15:51:25.000,-1.0328897949
2003-03-03T15:51:30.000,-1.0382198444
2003-03-03T15:51:35.000,-1.0435180985
2003-03-03T15:51:40.000,-1.0487843984
2003-03-03T15:51:45.000,-1.0540185834
2003-03-03T15:51:50.000,-1.059220488
2003-03-03T15:51:55.000,-1.0643899514
2003-03-03T15:52:00.000,-1.069526838
2003-03-03T15:52:05.000,-1.0746309554
2003-03-03T15:52:10.000,-1.0797021864
2003-03-03T15:52:15.000,-1.084740352
2003-03-03T15:52:20.000,-1.089745292
2003-03-03T15:52:25.000,-1.0947168718
2003-03-03T15:52:30.000,-1.0996549268
2003-03-03T15:52:35.000,-1.1045593087
2003-03-03T15:52:40.000,-1.1094298754
2003-03-03T15:52:45.000,-1.1142664896
2003-03-03T15:52:50.000,-1.1190689498
2003-03-03T15:52:55.000,-1.1238371576
2003-03-03T15:53:00.000,-1.1285709832
2003-03-03T15:53:05.000,-1.1332702105
2003-03-03T15:53:10.000,-1.137934759
2003-03-03T15:53:15.000,-1.1425644683
2003-03-03T15:53:20.000,-1.1471591843
2003-03-03T15:53:25.000,-1.1517187939
2003-03-03T15:53:30.000,-1.1562431475
2003-03-03T15:53:35.000,-1.1607320907
2003-03-03T15:53:40.000,-1.1651854922
2003-03-03T15:53:45.000,-1.1696031772
2003-03-03T15:53:50.000,-1.1739850074
2003-03-03T15:53:55.000,-1.1783310544
2003-03-03T15:54:00.000,-1.1826409577
2003-03-03T15:54:05.000,-1.186914576
2003-03-03T15:54:10.000,-1.1911518592
2003-03-03T15:54:15.000,-1.1953527292
2003-03-03T15:54:20.000,-1.1995169939
2003-03-03T15:54:25.000,-1.2036444878
2003-03-03T15:54:30.000,-1.2077351133
2003-03-03T15:54:35.000,-1.2117888615
2003-03-03T15:54:40.000,-1.2158056337
2003-03-03T15:54:45.000,-1.219785095
2003-03-03T15:54:50.000,-1.2237269521
2003-03-03T15:54:55.000,-1.2276312602
2003-03-03T15:55:00.000,-1.2314982324
2003-03-03T15:55:05.000,-1.2353277418
2003-03-03T15:55:10.000,-1.2391193642
2003-03-03T15:55:15.000,-1.2428729013
2003-03-03T15:55:20.000,-1.2465883216
2003-03-03T15:55:25.000,-1.2502653187
2003-03-03T15:55:30.000,-1.2539039132
2003-03-03T15:55:35.000,-1.2575049013
2003-03-03T15:55:40.000,-1.2610671338
2003-03-03T15:55:45.000,-1.2645905946
2003-03-03T15:55:50.000,-1.268075332
2003-03-03T15:55:55.000,-1.2715212391
2003-03-03T15:56:00.000,-1.2749282098
2003-03-03T15:56:05.000,-1.2782961396
2003-03-03T15:56:10.000,-1.281624925
2003-03-03T15:56:15.000,-1.2849144635
2003-03-03T15:56:20.000,-1.2881646541
2003-03-03T15:56:25.000,-1.2913753968
2003-03-03T15:56:30.000,-1.2945465928
2003-03-03T15:56:35.000,-1.2976781445
2003-03-03T15:56:40.000,-1.3007699557
2003-03-03T15:56:45.000,-1.3038219312
2003-03-03T15:56:50.000,-1.3068339769
2003-03-03T15:56:55.000,-1.3098060001
2003-03-03T15:57:00.000,-1.3127379093
2003-03-03T15:57:05.000,-1.3156296142
2003-03-03T15:57:10.000,-1.3184810257
2003-03-03T15:57:15.000,-1.3212920558
2003-03-03T15:57:20.000,-1.3240626179
2003-03-03T15:57:25.000,-1.3267926265
2003-03-03T15:57:30.000,-1.3294819974
2003-03-03T15:57:35.000,-1.3321306477
2003-03-03T15:57:40.000,-1.3347384955
2003-03-03T15:57:45.000,-1.3373054604
2003-03-03T15:57:50.000,-1.339831463
2003-03-03T15:57:55.000,-1.3423164254
2003-03-03T15:58:00.000,-1.3447602706
2003-03-03T15:58:05.000,-1.3471629232
2003-03-03T15:58:10.000,-1.3495243088
2003-03-03T15:58:15.000,-1.3518443543
2003-03-03T15:58:20.000,-1.354122988
2003-03-03T15:58:25.000,-1.3563601393
2003-03-03T15:58:30.000,-1.3585557389
2003-03-03T15:58:35.000,-1.3607097187
2003-03-03T15:58:40.000,-1.3628220119
2003-03-03T15:58:45.000,-1.364892553
2003-03-03T15:58:50.000,-1.3669212778
2003-03-03T15:58:55.000,-1.3689081233
2003-03-03T15:59:00.000,-1.3708530277
2003-03-03T15:59:05.000,-1.3727559305
2003-03-03T15:59:10.000,-1.3746167727
2003-03-03T15:59:15.000,-1.3764354962
2003-03-03T15:59:20.000,-1.3782120445
2003-03-03T15:59:25.000,-1.3799463622
2003-03-03T15:59:30.000,-1.3816383952
2003-03-03T15:59:35.000,-1.3832880907
2003-03-03T15:59:40.000,-1.3848953973
2003-03-03T15:59:45.000,-1.3864602646
2003-03-03T15:59:50.000,-1.3879826437
2003-03-03T15:59:55.000,-1.3894624871
2003-03-03T16:00:00.000,-1.3908997482
2003-03-03T16:00:05.000,-1.3922943822
2003-03-03T16:00:10.000,-1.393646345
2003-03-03T16:00:15.000,-1.3949555944
2003-03-03T16:00:20.000,-1.396222089
2003-03-03T16:00:25.000,-1.3974457891
2003-03-03T16:00:30.000,-1.3986266559
2003-03-03T16:00:35.000,-1.3997646523
2003-03-03T16:00:40.000,-1.4008597421
2003-03-03T16:00:45.000,-1.4019118908
2003-03-03T16:00:50.000,-1.4029210649
2003-03-03T16:00:55.000,-1.4038872323
2003-03-03T16:01:00.000,-1.4048103623
2003-03-03T16:01:05.000,-1.4056904253
2003-03-03T16:01:10.000,-1.4065273932
2003-03-03T16:01:15.000,-1.4073212392
2003-03-03T16:01:20.000,-1.4080719377
2003-03-03T16:01:25.000,-1.4087794644
2003-03-03T16:01:30.000,-1.4094437965
2003-03-03T16:01:35.000,-1.4100649122
2003-03-03T16:01:40.000,-1.4106427914
2003-03-03T16:01:45.000,-1.411177415
2003-03-03T16:01:50.000,-1.4116687653
2003-03-03T16:01:55.000,-1.4121168259
2003-03-03T16:02:00.000,-1.4125215819
2003-03-03T16:02:05.000,-1.4128830195
2003-03-03T16:02:10.000,-1.4132011263
2003-03-03T16:02:15.000,-1.4134758912
2003-03-03T16:02:20.000,-1.4137073043
2003-03-03T16:02:25.000,-1.4138953574
2003-03-03T16:02:30.000,-1.4140400431
2003-03-03T16:02:35.000,-1.4141413557
2003-03-03T16:02:40.000,-1.4141992908
2003-03-03T16:02:45.000,-1.414213845
2003-03-03T16:02:50.000,-1.4141850166
2003-03-03T16:02:55.000,-1.4141128049
2003-03-03T16:03:00.000,-1.4139972109
2003-03-03T16:03:05.000,-1.4138382366
2003-03-03T16:03:10.000,-1.4136358853
2003-03-03T16:03:15.000,-1.4133901619
2003-03-03T16:03:20.000,-1.4131010725
2003-03-03T16:03:25.000,-1.4127686243
2003-03-03T16:03:30.000,-1.4123928261
2003-03-03T16:03:35.000,-1.4119736879
2003-03-03T16:03:40.000,-1.4115112211
2003-03-03T16:03:45.000,-1.4110054384
2003-03-03T16:03:50.000,-1.4104563537
2003-03-03T16:03:55.000,-1.4098639823
2003-03-03T16:04:00.000,-1.4092283409
2003-03-03T16:04:05.000,-1.4085494474
2003-03-03T16:04:10.000,-1.407827321
2003-03-03T16:04:15.000,-1.4070619825
2003-03-03T16:04:20.000,-1.4062534535
2003-03-03T16:04:25.000,-1.4054017575
2003-03-03T16:04:30.000,-1.4045069189
2003-03-03T16:04:35.000,-1.4035689636
2003-03-03T16:04:40.000,-1.4025879187
2003-03-03T16:04:45.000,-1.4015638128
2003-03-03T16:04:50.000,-1.4004966756
2003-03-03T16:04:55.000,-1.3993865383
2003-03-03T16:05:00.000,-1.3982334333
2003-03-03T16:05:05.000,-1.3970373943
2003-03-03T16:05:10.000,-1.3957984564
2003-03-03T16:05:15.000,-1.3945166559
2003-03-03T16:05:20.000,-1.3931920306
2003-03-03T16:05:25.000,-1.3918246194
