Time of orbit: 0,Z-axis of orbit: 0,Time of orbit: 1,Z-axis of orbit: 1
2003-03-03T15:50:55.586,4.793720975726501E-12,2003-03-03T15:50:55.586,-0.6798519890792408
2003-03-03T15:50:55.595,4.575895218295045E-12,2003-03-03T15:50:55.595,-0.6798458496805537
2003-03-03T15:50:56.404,5.388800516925585E-12,2003-03-03T15:50:56.404,-0.679300177295885
2003-03-03T15:50:56.441,5.447198248020868E-12,2003-03-03T15:50:56.441,-0.6792749752292704
2003-03-03T15:50:58.274,9.944045586962602E-12,2003-03-03T15:50:58.274,-0.6780360411949746
2003-03-03T15:50:58.644,1.1266099164686239E-11,2003-03-03T15:50:58.644,-0.6777856483100475
2003-03-03T15:51:00.788,2.149125322148393E-11,2003-03-03T15:51:00.788,-0.676331572517711
2003-03-03T15:51:04.475,4.8274273467541207E-11,2003-03-03T15:51:04.475,-0.6738228723943566
2003-03-03T15:51:06.378,6.603806390614864E-11,2003-03-03T15:51:06.378,-0.6725234172062606
2003-03-03T15:51:23.722,2.955355959954886E-10,2003-03-03T15:51:23.722,-0.6605454718728452
2003-03-03T15:51:23.954,2.988647107571296E-10,2003-03-03T15:51:23.954,-0.6603836633256324
2003-03-03T15:52:15.002,-4.816268162066706E-9,2003-03-03T15:52:15.002,-0.6237209516365725
2003-03-03T15:52:15.002,-4.816268162066706E-9,2003-03-03T15:52:15.002,-0.6237209516365725
2003-03-03T15:52:18.148,2.4518020946828756E-9,2003-03-03T15:52:18.148,-0.6213949664687912
2003-03-03T15:52:24.184,-1.248975922685247E-9,2003-03-03T15:52:24.184,-0.6169107543328072
2003-03-03T15:53:58.148,-5.17968206104058E-8,2003-03-03T15:53:58.148,-0.5436837269642008
2003-03-03T15:54:04.184,-6.009903019688068E-9,2003-03-03T15:54:04.184,-0.5387691493514213
2003-03-03T15:55:38.148,-2.1454170329171518E-7,2003-03-03T15:55:38.148,-0.45930458208505964
2003-03-03T15:55:44.184,-2.1674542205474268E-7,2003-03-03T15:55:44.184,-0.45401978682269295
2003-03-03T15:57:18.148,-2.7691372106453116E-7,2003-03-03T15:57:18.148,-0.369290796464659
2003-03-03T15:57:24.184,-2.8250808215002365E-7,2003-03-03T15:57:24.184,-0.36370053605841246
2003-03-03T15:58:58.148,-3.9762394687947733E-7,2003-03-03T15:58:58.148,-0.2747457746971633
2003-03-03T15:59:04.184,-4.068251774347331E-7,2003-03-03T15:59:04.184,-0.26891860716870397
2003-03-03T16:00:38.148,-5.768359819802171E-7,2003-03-03T16:00:38.148,-0.17682939388209962
2003-03-03T16:00:44.184,-5.893732052397738E-7,2003-03-03T16:00:44.184,-0.17083683065848443
2003-03-03T16:01:06.573,-6.373913316037871E-7,2003-03-03T16:01:06.573,-0.14854742523789888
