Time of orbit: 0,Z-axis of orbit: 0
2003-03-03T15:50:55.595,4.57589521829505E-12
2003-03-03T15:50:56.441,5.44719824802087E-12
2003-03-03T15:50:58.274,9.9440455869626E-12
2003-03-03T15:51:00.788,2.14912532214839E-11
2003-03-03T15:51:06.378,6.60380639061486E-11
2003-03-03T15:51:23.954,2.9886471075713E-10
2003-03-03T15:52:18.148,2.45180209468288E-09
2003-03-03T15:53:58.148,-5.17968206104058E-08
2003-03-03T15:55:38.148,-2.14541703291715E-07
2003-03-03T15:57:18.148,-2.76913721064531E-07
2003-03-03T15:58:58.148,-3.97623946879477E-07
2003-03-03T16:00:38.148,-5.76835981980217E-07
2003-03-03T16:02:18.148,-8.04749962890483E-07
2003-03-03T16:03:58.148,-1.06035142244387E-06
2003-03-03T16:05:38.148,-1.31730787344964E-06
2003-03-03T16:07:18.148,-1.55560917192155E-06
2003-03-03T16:08:58.148,-1.77174732374219E-06
2003-03-03T16:10:38.148,-1.97952920300004E-06
2003-03-03T16:12:18.148,-2.1990786910342E-06
2003-03-03T16:13:58.148,-2.43956476397855E-06
2003-03-03T16:15:38.148,-0.000002686
2003-03-03T16:17:18.148,-2.898329513501E-06
2003-03-03T16:18:58.148,-3.02417616115935E-06
2003-03-03T16:20:38.148,-3.01753141829231E-06
2003-03-03T16:22:18.148,-2.85408820699384E-06
2003-03-03T16:23:58.148,-0.000002536
2003-03-03T16:25:38.148,-2.08653605415776E-06
2003-03-03T16:27:18.148,-1.53964676485874E-06
2003-03-03T16:28:58.148,-9.3171047821361E-07
2003-03-03T16:30:38.148,-2.97317185427026E-07
2003-03-03T16:32:18.148,3.31890112503785E-07
2003-03-03T16:33:58.148,9.28772951880319E-07
2003-03-03T16:35:38.148,1.47419977403196E-06
2003-03-03T16:37:18.148,0.000001961
2003-03-03T16:38:58.148,2.3957412957909E-06
2003-03-03T16:40:38.148,2.79587337059795E-06
2003-03-03T16:42:18.148,3.18478671879063E-06
2003-03-03T16:43:58.148,3.5861828591166E-06
2003-03-03T16:45:38.148,4.02067887828039E-06
2003-03-03T16:47:18.148,4.50414726027582E-06
2003-03-03T16:48:28.733,0.4617991593
2003-03-03T16:48:28.733,0.4617991593
2003-03-03T16:48:58.148,0.4476347459
2003-03-03T16:50:38.148,0.40294627
2003-03-03T16:52:18.148,0.3642009956
2003-03-03T16:53:58.148,0.3312049567
2003-03-03T16:55:38.148,0.303270024
2003-03-03T16:56:00.552,0.2976251972
