Time of orbit: 0,Z-axis of orbit: 0,Time of orbit: 1,Z-axis of orbit: 1
2003-03-03T15:50:55.586,4.7937209757265E-12,2003-03-03T15:50:55.586,-0.6798519891
2003-03-03T15:50:55.595,4.57589521829505E-12,2003-03-03T15:50:55.595,-0.6798458497
2003-03-03T15:50:56.404,5.38880051692559E-12,2003-03-03T15:50:56.404,-0.6793001773
2003-03-03T15:50:56.441,5.44719824802087E-12,2003-03-03T15:50:56.441,-0.6792749752
2003-03-03T15:50:58.274,9.9440455869626E-12,2003-03-03T15:50:58.274,-0.6780360412
2003-03-03T15:50:58.644,1.12660991646862E-11,2003-03-03T15:50:58.644,-0.6777856483
2003-03-03T15:51:00.788,2.14912532214839E-11,2003-03-03T15:51:00.788,-0.6763315725
2003-03-03T15:51:04.475,4.82742734675412E-11,2003-03-03T15:51:04.475,-0.6738228724
2003-03-03T15:51:06.378,6.60380639061486E-11,2003-03-03T15:51:06.378,-0.6725234172
2003-03-03T15:51:23.722,2.95535595995489E-10,2003-03-03T15:51:23.722,-0.6605454719
2003-03-03T15:51:23.954,2.9886471075713E-10,2003-03-03T15:51:23.954,-0.2886833419
2003-03-03T15:52:15.002,-4.81626816206671E-09,2003-03-03T15:52:15.002,-0.2526701224
2003-03-03T15:52:15.002,-4.81626816206671E-09,2003-03-03T15:52:15.002,-0.2526701224
2003-03-03T15:52:18.148,2.45180209468288E-09,2003-03-03T15:52:18.148,-0.7599859712
2003-03-03T15:52:24.184,-1.24897592268525E-09,2003-03-03T15:52:24.184,-0.2663895099
2003-03-03T15:53:58.148,-5.17968206104058E-08,2003-03-03T15:53:58.148,-0.1744592684
2003-03-03T15:54:04.184,-0.000000006,2003-03-03T15:54:04.184,-0.16971569
2003-03-03T15:55:38.148,-2.14541703291715E-07,2003-03-03T15:55:38.148,-0.0945663635
2003-03-03T15:55:44.184,-2.16745422054743E-07,2003-03-03T15:55:44.184,-0.0896877066
2003-03-03T15:57:18.148,-2.76913721064531E-07,2003-03-03T15:57:18.148,-0.0138459546
2003-03-03T15:57:24.184,-2.82508082150024E-07,2003-03-03T15:57:24.184,-0.0090076279
2003-03-03T15:58:58.148,-3.97623946879477E-07,2003-03-03T15:58:58.148,0.0650756854
2003-03-03T15:59:04.184,-4.06825177434733E-07,2003-03-03T15:59:04.184,0.0697355359
2003-03-03T16:00:38.148,-5.76835981980217E-07,2003-03-03T16:00:38.148,0.1402244435
2003-03-03T16:00:44.184,-5.89373205239774E-07,2003-03-03T16:00:44.184,0.1446078026
2003-03-03T16:01:06.573,-6.37391331603787E-07,2003-03-03T16:01:06.573,0.1606968492
